Shipment_ID,Carrier_Name,Load_Type,Scheduled_Delivery_Date,Actual_Delivery_Date,Total_Cost,Mileage,Shipping_Location,Del_Region,OTD,CPM
S199,Road King,TL,9/22/2025,9/22/2025,"$4,794.90",1453,"Charleston, SC",West,ON TIME,$3.30
S193,Road King,TL,9/24/2025,9/24/2025,"$3,386.40",1411,"Charleston, SC",West,ON TIME,$2.40
S104,Road King,TL,8/29/2025,8/29/2025,"$2,439.60",1284,"Phoenix, AZ",South,ON TIME,$1.90
S124,Road King,TL,7/1/2025,7/2/2025,"$4,758.60",1442,"Phoenix, AZ",West,LATE,$3.30
S130,Road King,TL,7/9/2025,7/9/2025,"$4,389.60",1416,"Phoenix, AZ",South,ON TIME,$3.10
S136,Road King,TL,8/5/2025,8/5/2025,"$2,274.80",1034,"Phoenix, AZ",West,ON TIME,$2.20
S181,Road King,TL,9/28/2025,9/28/2025,"$2,335.00",934,"Charleston, SC",South,ON TIME,$2.50
S187,Road King,TL,9/30/2025,9/30/2025,"$3,913.80",1186,"Charleston, SC",Midwest,ON TIME,$3.30
S344,Road King,TL,9/28/2025,9/28/2025,"$2,335.00",934,"Phoenix, AZ",South,ON TIME,$2.50
S350,Road King,TL,9/30/2025,9/30/2025,"$3,913.80",1186,"Charleston, SC",Midwest,ON TIME,$3.30
